timestamp,cpu_utilization,power_draw_watts,keyboard_interrupt_rate,mouse_interrupt_rate,memory_utilization,disk_io_mbps,network_mbps,scenario_label
2024-01-01 00:00:00,7.0665,6.0318,0,0,20.0451,0.943,0.6135,0
2024-01-01 00:00:01,3.8199,4.9064,0.0834,0.4081,20.0187,0.8691,0.6023,0
2024-01-01 00:00:02,5.7102,4.002,0.4097,0.4828,21.2409,1.2413,0.4241,0
2024-01-01 00:00:03,6.379,6.5954,0.184,0,18.4028,0.9605,0.5444,0
2024-01-01 00:00:04,7.4781,6.8664,0,0.3653,19.042,1.183,0.5195,0
2024-01-01 00:00:05,2.0843,5.8788,0,0.3248,20.6726,0.7007,0.4974,0
2024-01-01 00:00:06,7.2056,3.9756,0,0.3705,18.7643,1.0405,0.3954,0
2024-01-01 00:00:07,7.8052,6.2127,0,0,19.2802,1.0048,0.6731,0
2024-01-01 00:00:08,2.6543,5.2051,0.2066,0.0474,21.2579,1.0242,0.6855,0
2024-01-01 00:00:09,5.6191,5.3505,0,0.0963,19.5396,1.0454,0.4161,0
2024-01-01 00:00:10,3.1363,3.7469,0.1128,0.1567,19.9061,0.7539,0.603,0
2024-01-01 00:00:11,7.2606,6.6935,0.3425,0.3982,21.6923,1.0244,0.4565,0
2024-01-01 00:00:12,6.2317,4.1025,0.3116,0.3495,21.5802,1.0539,0.6799,0
2024-01-01 00:00:13,5.4782,4.8023,0.1602,0.4963,21.6678,1.176,0.3329,0
2024-01-01 00:00:14,5.6767,4.9458,0.1301,0.3451,18.9721,1.1389,0.3469,0
2024-01-01 00:00:15,3.3228,6.1783,0,0.3159,18.4024,0.7878,0.5791,0
2024-01-01 00:00:16,2.2714,5.2955,0.41,0.0342,20.7224,0.716,0.554,0
2024-01-01 00:00:17,5.638,5.3038,0,0,21.9221,0.7218,0.3087,0
2024-01-01 00:00:18,7.7662,3.7399,0,0,21.203,1.2622,0.3091,0
2024-01-01 00:00:19,4.5537,3.406,0,0,20.5877,0.9102,0.3721,0
2024-01-01 00:00:20,5.0218,3.1575,0,0.4882,18.7974,0.9151,0.5926,0
2024-01-01 00:00:21,7.03,6.6739,0,0.1726,21.8662,0.7348,0.5705,0
2024-01-01 00:00:22,7.0725,4.3693,0,0.0968,19.7693,0.8049,0.4887,0
2024-01-01 00:00:23,4.4594,5.2765,0.0086,0,19.4286,1.2026,0.4004,0
2024-01-01 00:00:24,5.3636,3.0497,0.2416,0,18.1828,0.8685,0.3961,0
2024-01-01 00:00:25,7.7188,4.4089,0,0,21.7876,1.0802,0.5484,0
2024-01-01 00:00:26,6.2937,4.5521,0,0.1508,18.0061,0.8154,0.4338,0
2024-01-01 00:00:27,3.4365,5.5496,0,0.3754,20.2726,0.9486,0.4609,0
2024-01-01 00:00:28,6.211,4.6729,0.1622,0,19.7814,0.8555,0.3631,0
2024-01-01 00:00:29,5.1654,4.9491,0.0614,0.2555,21.5355,0.9967,0.4248,0
2024-01-01 00:00:30,4.8014,6.2362,0.375,0.3124,18.752,1.2997,0.5532,0
2024-01-01 00:00:31,2.5008,5.9022,0.4868,0,20.7141,0.8897,0.3854,0
2024-01-01 00:00:32,6.3039,3.0094,0.3227,0.0283,18.3911,0.7713,0.5597,0
2024-01-01 00:00:33,7.2419,4.1199,0.4785,0,21.4158,0.938,0.3325,0
2024-01-01 00:00:34,3.6483,4.8119,0.2923,0.3614,18.5337,1.0125,0.5603,0
2024-01-01 00:00:35,4.0823,6.4875,0,0,18.1627,1.1086,0.5233,0
2024-01-01 00:00:36,7.679,6.7538,0.4099,0,20.9965,1.1208,0.5621,0
2024-01-01 00:00:37,6.2741,6.6108,0.1401,0,20.1517,0.8247,0.5349,0
2024-01-01 00:00:38,2.0534,3.6041,0,0.2896,20.874,0.903,0.5482,0
2024-01-01 00:00:39,2.2472,3.6554,0.4819,0,19.5792,1.0291,0.4174,0
2024-01-01 00:00:40,4.8684,3.9588,0,0,20.0922,0.7425,0.4613,0
2024-01-01 00:00:41,3.9711,4.6589,0,0.4087,19.896,1.2045,0.6905,0
2024-01-01 00:00:42,4.0619,4.9163,0.1996,0,19.2076,1.1409,0.6578,0
2024-01-01 00:00:43,7.5181,5.507,0,0.4746,20.5555,0.7395,0.3339,0
2024-01-01 00:00:44,6.4992,3.2446,0,0,20.076,0.9691,0.4954,0
